carnegie,term,size,residential
1,two-year,very small,NA
2,two-year,small,NA
3,two-year,medium,NA
4,two-year,large,NA
5,two-year,very large,NA
6,four-year,very small,no
7,four-year,very small,primarily
8,four-year,very small,highly
9,four-year,small,no
10,four-year,small,primarily
11,four-year,small,highly
12,four-year,medium,no
13,four-year,medium,primarily
14,four-year,medium,highly
15,four-year,large,no
16,four-year,large,primarily
17,four-year,large,highly
18,graduate,NA,NA
